Gen,Mensaje
1980s,Año de lanzamiento con más horas jugadas para Género 1980s: 2015
1990s,Año de lanzamiento con más horas jugadas para Género 1990s: 2011
2D,Año de lanzamiento con más horas jugadas para Género 2D: 2012
3D Platformer,Año de lanzamiento con más horas jugadas para Género 3D Platformer: 2011
Action,Año de lanzamiento con más horas jugadas para Género Action: 2012
Action-Adventure,Año de lanzamiento con más horas jugadas para Género Action-Adventure: 2015
Adventure,Año de lanzamiento con más horas jugadas para Género Adventure: 2011
Animation & Modeling,Año de lanzamiento con más horas jugadas para Género Animation & Modeling: 2015
Anime,Año de lanzamiento con más horas jugadas para Género Anime: 2011
Atmospheric,Año de lanzamiento con más horas jugadas para Género Atmospheric: 2006
Audio Production,Año de lanzamiento con más horas jugadas para Género Audio Production: 2014
Based On A Novel,Año de lanzamiento con más horas jugadas para Género Based On A Novel: 2006
Cartoon,Año de lanzamiento con más horas jugadas para Género Cartoon: 2015
Casual,Año de lanzamiento con más horas jugadas para Género Casual: 2015
Classic,Año de lanzamiento con más horas jugadas para Género Classic: 2011
Co-op,Año de lanzamiento con más horas jugadas para Género Co-op: 2015
Colorful,Año de lanzamiento con más horas jugadas para Género Colorful: 2012
Comedy,Año de lanzamiento con más horas jugadas para Género Comedy: 2015
Comic Book,Año de lanzamiento con más horas jugadas para Género Comic Book: 2015
Competitive,Año de lanzamiento con más horas jugadas para Género Competitive: 2015
Controller,Año de lanzamiento con más horas jugadas para Género Controller: 2011
Crime,Año de lanzamiento con más horas jugadas para Género Crime: 2015
Cyberpunk,Año de lanzamiento con más horas jugadas para Género Cyberpunk: 2015
Dark,Año de lanzamiento con más horas jugadas para Género Dark: 2006
Dark Comedy,Año de lanzamiento con más horas jugadas para Género Dark Comedy: 2012
Dating Sim,Año de lanzamiento con más horas jugadas para Género Dating Sim: 2000
Design & Illustration,Año de lanzamiento con más horas jugadas para Género Design & Illustration: 2015
Difficult,Año de lanzamiento con más horas jugadas para Género Difficult: 2006
Dinosaurs,Año de lanzamiento con más horas jugadas para Género Dinosaurs: 2015
Documentary,Año de lanzamiento con más horas jugadas para Género Documentary: 2014
Drama,Año de lanzamiento con más horas jugadas para Género Drama: 2015
Dynamic Narration,Año de lanzamiento con más horas jugadas para Género Dynamic Narration: 2016
Early Access,Año de lanzamiento con más horas jugadas para Género Early Access: 2013
Education,Año de lanzamiento con más horas jugadas para Género Education: 2013
Episodic,Año de lanzamiento con más horas jugadas para Género Episodic: 2015
FMV,Año de lanzamiento con más horas jugadas para Género FMV: 2016
FPS,Año de lanzamiento con más horas jugadas para Género FPS: 2006
Family Friendly,Año de lanzamiento con más horas jugadas para Género Family Friendly: 2011
Fantasy,Año de lanzamiento con más horas jugadas para Género Fantasy: 2000
Fast-Paced,Año de lanzamiento con más horas jugadas para Género Fast-Paced: 2011
Feature Film,Año de lanzamiento con más horas jugadas para Género Feature Film: 2015
Female Protagonist,Año de lanzamiento con más horas jugadas para Género Female Protagonist: 2011
Fighting,Año de lanzamiento con más horas jugadas para Género Fighting: 2015
First-Person,Año de lanzamiento con más horas jugadas para Género First-Person: 2006
Football,Año de lanzamiento con más horas jugadas para Género Football: 2015
Foreign,Año de lanzamiento con más horas jugadas para Género Foreign: 2015
Free to Play,Año de lanzamiento con más horas jugadas para Género Free to Play: 2013
Funny,Año de lanzamiento con más horas jugadas para Género Funny: 2015
Futuristic,Año de lanzamiento con más horas jugadas para Género Futuristic: 2015
Game Development,Año de lanzamiento con más horas jugadas para Género Game Development: 2015
GameMaker,Año de lanzamiento con más horas jugadas para Género GameMaker: 2016
Games Workshop,Año de lanzamiento con más horas jugadas para Género Games Workshop: 2015
Gaming,Año de lanzamiento con más horas jugadas para Género Gaming: 2015
Gore,Año de lanzamiento con más horas jugadas para Género Gore: 2006
Great Soundtrack,Año de lanzamiento con más horas jugadas para Género Great Soundtrack: 2011
Hack and Slash,Año de lanzamiento con más horas jugadas para Género Hack and Slash: 2016
Hacking,Año de lanzamiento con más horas jugadas para Género Hacking: 2015
