developer,mensaje
07th Expansion,"07th Expansion : Negative = 0, Neutral = 1, Positive = 1"
"10th Art Studio,Adventure Productions","10th Art Studio,Adventure Productions : Negative = 1, Neutral = 0, Positive = 1"
11 bit studios,"11 bit studios : Negative = 22, Neutral = 17, Positive = 7"
14° East,"14° East : Negative = 1, Neutral = 1, Positive = 0"
17-BIT,"17-BIT : Negative = 1, Neutral = 1, Positive = 0"
1C Company,"1C Company : Negative = 1, Neutral = 1, Positive = 0"
1C-Avalon,"1C-Avalon : Negative = 1, Neutral = 1, Positive = 0"
1C-SoftClub,"1C-SoftClub : Negative = 1, Neutral = 1, Positive = 0"
1C: Maddox Games,"1C: Maddox Games : Negative = 6, Neutral = 2, Positive = 0"
1C:InoCo,"1C:InoCo : Negative = 2, Neutral = 1, Positive = 0"
24 Caret Games,"24 Caret Games : Negative = 1, Neutral = 0, Positive = 0"
2D BOY,"2D BOY : Negative = 6, Neutral = 1, Positive = 0"
2DArray,"2DArray : Negative = 1, Neutral = 0, Positive = 0"
2DEngine.com,"2DEngine.com : Negative = 1, Neutral = 0, Positive = 0"
"2K Australia,Gearbox Software,Aspyr (Mac &amp; Linux)","2K Australia,Gearbox Software,Aspyr (Mac &amp; Linux) : Negative = 1, Neutral = 0, Positive = 0"
"2K Australia,Gearbox Software,Aspyr (Mac and Linux)","2K Australia,Gearbox Software,Aspyr (Mac and Linux) : Negative = 39, Neutral = 13, Positive = 19"
"2K Australia,Gearbox Software,Aspyr (Mac,Linux)","2K Australia,Gearbox Software,Aspyr (Mac,Linux) : Negative = 3, Neutral = 0, Positive = 0"
"2K Boston,2K Australia","2K Boston,2K Australia : Negative = 41, Neutral = 18, Positive = 5"
"2K Czech,Feral Interactive (Mac)","2K Czech,Feral Interactive (Mac) : Negative = 24, Neutral = 4, Positive = 12"
2K Marin,"2K Marin : Negative = 5, Neutral = 3, Positive = 2"
"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)","2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac) : Negative = 10, Neutral = 4, Positive = 1"
2Play,"2Play : Negative = 3, Neutral = 4, Positive = 2"
2x2 Games,"2x2 Games : Negative = 0, Neutral = 1, Positive = 0"
3 Sprockets,"3 Sprockets : Negative = 5, Neutral = 1, Positive = 0"
3000AD,"3000AD : Negative = 0, Neutral = 1, Positive = 0"
"343 Industries,Vanguard Games","343 Industries,Vanguard Games : Negative = 1, Neutral = 1, Positive = 0"
3909,"3909 : Negative = 37, Neutral = 15, Positive = 14"
3D Realms (Apogee Software),"3D Realms (Apogee Software) : Negative = 2, Neutral = 0, Positive = 0"
3f Interactive,"3f Interactive : Negative = 2, Neutral = 0, Positive = 0"
49 Games,"49 Games : Negative = 0, Neutral = 0, Positive = 1"
4A Games,"4A Games : Negative = 15, Neutral = 1, Positive = 4"
5 Bits Games,"5 Bits Games : Negative = 2, Neutral = 1, Positive = 0"
5th Cell Media,"5th Cell Media : Negative = 18, Neutral = 13, Positive = 11"
773,"773 : Negative = 1, Neutral = 0, Positive = 0"
777 Studios,"777 Studios : Negative = 0, Neutral = 2, Positive = 0"
